text,crowd_label,conf0,conf1
9 gifted politicians. One broken party. And Trump. mention url via mention #GOPDebate,0,1.0,0.0
RT mention TRIVIA:  Who is the only candidate to have proposed cutting spending by a TRILLION dollars during his first year as PrU_,0,0.6493,0.3507
RT mention Jeb Bush reminds me of elevator music. You hear it but you don't listen. _Ua14_Uau #GOPDebate  #GOPDebates,0,1.0,0.0
RT mention #GOPDebate rivaled a grand production of a Ringling Brothers & Barnum & Bailey circus with 10 mudslinging elephants on paU_,0,1.0,0.0
I bet Jeb Bush gets really good weed. Just sayin. mention #GOPDebate #GOPDebate2016 #GOPDebates #PresidentialDebate,0,0.7108,0.2892
RT mention Can someone tell me why Ben Carson is carrying water for people who will barely let him speak? Racism much? #GOPDebates,0,0.66,0.34
Rubio thinks the Republican Party is BFFs with God and the Democrats can just suck it as God hates them.  #GOPDebates,0,1.0,0.0
"""The problem this country has is being politically correct"" -Trump

Amen sir, amen. #GOPDebate",1,0.0,1.0
mention yep mention sucked at #GOPDebate  mention  country is in a mess & debate questions Terrible,0,0.6667,0.33330000000000004
"RT mention ""Way to not answer the question""

-my dad at the TV all night #GOPdebates",0,0.6628,0.3372000000000001
Watch the debates nope better things to do watching paint dry #GOPDebate,0,1.0,0.0
"RT mention As you watch the #GOPDebate, pray for the future of this nation and that America would turn back to God. #PrayforAmeriU_",1,0.32520000000000004,0.6748
"RT mention .mention wins 1st #GOPDebate!
#MakeAmericaGreatAgain #Trump2016 #TeamTrump #TrumpForPresident _Ua14_Uau url",1,0.0,1.0
"RT mention UImention democrats watching the #GOPDebate url mention love unborn, it's after birth they starve tU_",0,0.6809,0.31910000000000005
Trump doesn't answer questions he just shits out a semi coherent sentence with a bunch of charged words thrown in there #GOPDebate,0,1.0,0.0
"Ted, look at history: that was a deal to bolster Reagan! #GOPDebate #GOPDebates",0,1.0,0.0
Well that was a blast. A strong field in both #GOPDebates. Going to be a fun campaign season!,1,0.3068,0.6932
"RT mention 2015 #GOPDebate Winner?
Time has mention leading with 42%. 
#Trump2016 #MakeAmericaGreatAgain _Ua14_Uau url",1,0.35229999999999995,0.6477
RT mention Donald Trump wants to build The Great Wall of China (in America). Fully equipped with a door.  #GOPDebate,0,1.0,0.0
#GOPDEBATES Still nothing about the VA.  I guess their all scared to talk about the dead!,0,1.0,0.0
Are they trying to knock out Paul and Trump by asking them all of the questions? #GOPDebates many are getting ignored,0,1.0,0.0
RT mention Jeb Bush reminds me of elevator music. You hear it but you don't listen. _Ua14_Uau #GOPDebate  #GOPDebates,0,1.0,0.0
RT mention UII french-kissed Jesus Christ!U - Every candidate #GOPDebate,0,0.6418,0.3582
"RT mention Ben Carson, solidifying the black vote. #GOPDebates",1,0.3441,0.6559
Just watched a clip of mention trying to bully mention got his rear handed to him. #GOPDebate,0,0.6556,0.34440000000000004
Just woke up and I'm wondering: was the #GOPDebate real? Or the most horrifying nightmare I've ever had?,0,1.0,0.0
"*Lady screams bloody murder* Trump- ""I agree"" BEST MOMENT OF #GOPDebates",0,0.6207,0.3793
RT mention Tonight we learned that mention thinks he can remove our civil rights to fight terrorism. #GOPDebate  #GOPDebates,0,1.0,0.0
"Yay, social issues next!!! #GOPDebate",1,0.32220000000000004,0.6778
Dems are terrified b/c they know a conservative will b next president & they won't be able to dismember babies & sell body parts. #GOPDebate,0,1.0,0.0
My favs from #GOPDebates tonight: mention mention,1,0.3365,0.6635
#HillaryClinton spent #GOPDebate night with the #Kardashians: url url,0,1.0,0.0
"RT mention Carson: ""I'm the only one to separate Siamese twins."" Kinda hard to outdo that. #GOPDebate",0,0.6593,0.3407
"RT mention Trump has got it right, nobody would talk about immigration, not untill be brought it up. #GOPDebate #GOPDebates",1,0.0,1.0
"RT mention ""Maybe if I just keep bringing up immigration they won't notice my hairs not real"" - Donald Trumphs inner monologue #GOPU_",0,0.6462,0.3538
"RT mention Rand Paul, I'm a different kind of republican... yes, you are an sos pad dickhead. #Gopdebates",0,1.0,0.0
RT mention We the American people pick the next President of United States not FOX News _Ua14_Uau #GOPDebate  #GOPDebates,0,1.0,0.0
Jeb Bush performed like a wet sack of mashed potatoes. REALLY EXCITING STUFF DUDE. #GOPDebate,0,1.0,0.0
RT mention You would never know mention  is the frontrunner from watching this debate. _Ua14_Uau #GOPDebate  #GOPDebates,1,0.3579,0.6421
"RT mention Having attended mention & mention announcements, I assure you both mentioned illegal immigration as a prioritU_",1,0.335,0.665
"Huckabee wants to improve our economy by taxing, ""pimps and prostitutes who are freeloaders."" 

We're in trouble, America. #GOPDebates",0,1.0,0.0
RT mention werenUat barbaric white men UIillegalsU when they came here to steal from the natives? #GOPDebate,0,0.6548,0.34519999999999995
You know who mention was giving hugs to? THE FAMILIES OF PEARL HARBOR VICTIMS #GOPDebate,0,0.6824,0.3176
"RT mention mention mention mention
FOX/GOP Party's Hunger Games- Demagog Food-fighter mention
#GOPDebate url",0,0.6842,0.3158
"I'm waiting for the next one where mention will be at the kids' table.  Pretty sure he's Republican, ya? #JonVoyage #GOPDebate",0,0.6449,0.3551
Fox seems to be doing a hit job for GOP on mention #gopdebates,0,0.6667,0.33330000000000004
mention The best part of the debate last night? The legs behind Bret Baier's head. #TrueStory #GOPDebate url,0,0.6898,0.31020000000000003
RT mention I want mention to quietly walk out onto this stage and five-point-palm-exploding-heart all these hollow beasts. #GU_,0,0.6562,0.3438
